x	y
0.9430000000000001	0.236
0.944	0.236
0.9450000000000001	0.2347
0.946	0.2339
0.9470000000000001	0.2326
0.948	0.2314
0.9490000000000001	0.23
0.95	0.229
0.9510000000000001	0.2281
0.952	0.2272
0.9530000000000001	0.2258
0.954	0.2246
0.9550000000000001	0.2235
0.956	0.2225
0.9570000000000001	0.2214
0.958	0.2204
0.9590000000000001	0.2198
0.96	0.2187
0.9610000000000001	0.2162
0.962	0.2151
0.9630000000000001	0.2138
0.964	0.2126
0.9650000000000001	0.2108
0.966	0.209
0.9670000000000001	0.208
0.968	0.2071
0.9690000000000001	0.2051
0.97	0.2041
0.9710000000000001	0.202
0.972	0.2009
0.9730000000000001	0.1981
0.974	0.1973
0.9750000000000001	0.1956
0.976	0.1931
0.9770000000000001	0.1911
0.978	0.1891
0.9790000000000001	0.1866
0.98	0.1849
0.981	0.1827
0.982	0.1802
0.983	0.1769
0.984	0.1738
0.985	0.1707
0.986	0.1672
0.987	0.1639
0.988	0.1605
0.989	0.1582
0.99	0.1549
0.991	0.1517
0.992	0.1479
0.993	0.1427
0.994	0.1382
0.995	0.1322
0.996	0.1247
0.997	0.1173
0.998	0.1064
0.999	0.089
1.0	0.0292
